business_id,cool,date,funny,review_id,stars,text,useful,user_id
Du8gPSC88a9OuY1Vk0b52g,1,2010-10-09,1,AjNoav6_F_mVNslLenoI1w,3,"I went here last night to try the place out.  It was OK.  I was very close to closing time arriving at around 9:45.  

The woman was pleasant and she made my sundae quickly.  I got the Black and Tan Sundae which is described by their menu as:  Creamy vanilla and toasted almond ice cream drowned in Leatherby's caramel and chocolate fudge, topped with whipped cream, nuts and a cherry.

It was good but at $7.35 plus tax for two scoops of ice cream, that's too pricey.  For that amount, I can be sitting in Max Brenner's in the Forum Shoppes and not in a run down, older restaurant that has seen better days.

I don't need to return.",1,PKEzKWv_FktMm2mGPjwd0Q
74pWjFssgqyhaVg-YCUo3A,5,2012-08-23,0,v61BQDlPLdvGlxYuv4Ewxw,4,"I stopped here for breakfast yesterday and it was very good.  I ordered the Tropical French toast, two pieces of bread dipped in egg, coated with some toasted coconut and macadamia nuts, and nicely grilled.  

I sat at the counter and the place was quite busy.  Maybe it just seemed that way because no one was eating outside because it was RAINING!  

Service was very quick and everyone was pleasant and had a nice smile.  I only had one cup of coffee but I was asked about a refill.  I was giving platelets later and I didn't want to be sitting the hour and a half in the chair when the coffee want to leave me.  Also, thanks to the restaurant for having a half order as an option.  That was just enough!

One thing that would really make this breakfast tropical would be to replace the maple syrup with coconut syrup.  Now that's tropical!",7,PKEzKWv_FktMm2mGPjwd0Q
lFlBuADqFvQinFZoSgEhUg,1,2013-03-24,1,4qzN3JNiFV3-TILvOufX4g,4,"Friendly employees, and they are the closest shipping place to me that will ship FedEx packages. They have late pick up times (5:30 P.M.) for FedEx, although last time I rushed over to drop off a package before 5:30 the FedEx person had already come by. The employee was nice though, and directed me to the official FedEx station where I could drop it off before 6.",2,DK57YibC5ShBmqQl97CKog
UV2Jt8slktGu14gLZeNCjA,6,2014-06-02,5,bvyxwgS3BcCQP_h62Varlw,5,"I've been to Mint 8 times about half the time for lunch buffet and half for dinner.  Tonight, we stopped for dinner to try their new menu.  NOTE:  They have many new items on the menu and they continue to have their original items.

The first page of the new menu is the Inferno menu.  All dishes on this page are made with ghost peppers.  You have to sign a waiver before eating from this menu our server RS told us.  There's one challenge that if you finish, you get your photo on their Wall of Fame and you get a $50 Mint gift card for future use.  I don't think it's accepted by any hospitals.  (Michael K, this might be something you'd want to try!)

In addition, the new menu has soups and salads and appetizers of various kinds.  There are so many things to try it seems like a good UYE with 5 or 6 people to share the items.

For tonight, I chose the Vertical Vindaloo with lamb.  The menu change also allows you to order vindaloo and choose the protein you want--cheese, lamb, veggies, goat (bone in), swordfish, shrimp--and you choose your spiciness from 1 to 10.  I chose 
7 and I could have had more spice.  8 or 9 next time.  My wife ordered the Maharaja Tikka Masala with chicken breast (again choice of protein similar to the vindaloo).  She chose a spiciness of 3.  We also got an order of buttered garlic naan.

Everything was excellent!  The vindaloo had good spicy flavor and the sauce was very flavorful.  There were cut potatoes in the sauce, too.  My wife enjoyed her dinner and she also expressed that it could be spicier.  Wow, are we going to 4 or 5 next time?  What happened to my gabacha?  The naan was the tastiest we've had here.  It wasn't quartered like other times but served in one large round that we tore apart.

After dinner, she got khir and I pistachio kulfi.  I've had the khir before and while good, I wanted to try something different.  The pistachio ice cream was really, really good.  
I asked RS if it was made in house or could I go to the Indian store and get it out of the freezer.  Sure enough, it's made in house.  There goes that idea for a repeat.

RS was quite a pleasant server!  He refilled my iced tea when I was getting low and he gave us chance to look over the menu with no hurry and then was ready to answer any questions.

I have a couple of other Indian restaurants to try, but for me, either for lunch buffet or dinner, Mint tops all the others.  It is very good!",9,PKEzKWv_FktMm2mGPjwd0Q
rCFhc9MqIY0Wp6BAO-Tetg,8,2016-09-26,8,G32a0aC9ecipfDsrm35_Mg,4,"I've seen Clint Holmes in concert several times during the years I've lived here and I heard his commercials when he was playing at the Golden Nugget having been hired by Steve Wynn.  In the ensuing years, Holmes' talent has grown and he has been a solid contributor to our community.  Whenever there's a special fund raising need, he'll always be one of the entertainers onstage helping raise funds and that's where is saw him the first time on November 11, 2001.

A few years later, he's at the Palazzo Theatre doing his new show called ""Between the Lines.""  
It's quite a mix with a little bit of his older stuff but the rest mostly new material.  He has boundless energy and his voice has grown better over the years.

Attendance was so so the night I was there so I'm wondering if this new residency will last.  It was a weeknight show, definitely the gray hair crowd, so maybe other nights are better.

I recommend this show and I hope it keeps on going.",9,PKEzKWv_FktMm2mGPjwd0Q
zqHCzyOGQiNY9Co_G7-Bow,1,2014-03-14,1,QtMS7y2xcgjwX3PbA9YdkQ,5,Club Doggie has relocated to their Queen Creek location! See the Queen Creek review for more details. : ),2,DK57YibC5ShBmqQl97CKog
2m2O7o-E_jYvgvdkT6x_lA,5,2014-11-21,12,UeM5WhS9yGyB43O868E63w,1,"UPDATE! So I received a harassing message from the owner accusing me of working for Yelp, that I should not say anything and not to come back if I don't like them. 

My original review was 3 stars, but as a result, they've been downgraded. Just a few thoughts:

1. OK, I will never come back. Done!

2. If you are really that thin-skinned about a 3 star review where I do say the donuts are decent, but the Thai iced tea was too sweet, maybe you shouldn't be in the business of serving the masses. Hmm? Perhaps the time you have spent sending nasty messages to people that have a differing opinion could be used in adjusting your recipes, improving your marketing techniques, training your staff to be excellent at customer service, or maybe doing some relaxing breathing exercises to soothe your troubled soul instead?

3. Check out the owner's reviews. http://www.yelp.com/user_details?userid=4F3oa1_gQec7itBLW_9oVg 
It's very classy to give one stars to your competitors! And, may I assume that this person owns Boston Donuts, given the first (And only) to review, and the 5 star rating?

And last but not least,

Yes, I am the Yelpy evil donut fairy, traipsing around with my magic wand of misfortune cursing those poor, unfortunate donut shop owners with my 3 star reviews! Muhahaha!

But really folks, if you don't want to get harassed, go to Bosa or Welcome Chicken + Donuts instead. You will thank me, the evil donut fairy!",12,DK57YibC5ShBmqQl97CKog
mdV6YmSkjemocNBjLfw1hA,11,2014-12-14,6,prbd9vFkKVSiadKNW1nMLQ,4,"The Venetian Theatre is a beautiful venue for any kind of concert of Broadway style show.  I've been in the theatre twice since it was the Phantom Theatre.  Much of the Phantom design elements are still there except the eternal audience.  The chandelier in the center of the theatre's dome is a part of the one used in that famous seen from Phantom.

Last night, I was in the theatre for the Brian Wilson and Friends Show.  The show was being taped for broadcast next year on PBS.  The only negative last night was the box office not being prepared for the hundreds of people who came to pick up their tickets at the appointed time.

Unless you're sitting way in the back, all seats give a good view of the stage and the performers.  I am so glad the Venetian has retained this theatre.  It was announced last night that the theatre would be used for more events like last night.  It will be good if it gets used a lot!",12,PKEzKWv_FktMm2mGPjwd0Q
NSmTvGgirPJ4mJ9jzNW-eA,0,2011-03-27,0,aErdLQHpu2hKEssGdY39dA,4,"I had never really had Venezuelan food, and was eager to try a few unique dishes.  I had the patacon, which is a sandwich using fried plantain for the ""bread"" instead of actual bread.  The pork I had with it was slow cooked, juicy, and tender, while the fried plaintains were the perfect amount of crispiness, yet not so brittle that it would break into pieces after taking a bite of the sandwich.  The more standard sandwiches are very good as well, and are very large, with lots of ingredients inside.",2,DK57YibC5ShBmqQl97CKog
xBgQ4T6mhS5VsmK9u6mBcg,1,2009-11-09,2,ZMkcCvXxsT0iS16obrVBzA,3,"Went here for restaurant week.  The portions for restaurant week, I have noticed, are smaller than the portions you would get for a regular entree, since some of my friends got normal entrees and glancing at their meals, theirs were probably 2 times bigger.  I had the halibut, which tasted OK, but was a very tiny piece of fish surrounded by some lukewarm parsnip puree and caesar salad.  Considering that I just ate a different salad as part of the three course meal, I'm not sure why I would need more?  The sauce that came with the meal was firmly congealed to the plate, and I wouldn't really call it a sauce, more like a sticky mass that you can't really eat with the fish, for it's even hard to scrape it off with a fork.  I also tried some pork chop.  The meat was tender and was flavorful, but the outside was entirely coated with cancerous char.

Would I eat here again?  Well, I'm not so sure.  We got here at 5:30 on a Sunday night and service was pretty slow.  And, for some reason they were pouring the olive oil out on plates for bread for a completely empty table that wouldn't have people seated on it until an hour later, yet we weren't even offered olive oil/bread yet.  The entrees I tried weren't really ones that would entice me to go here again.  I do like the notion of a restaurant that relies on sustainable methods for their ingredients, but I wasn't really wowed by the food itself, especially at the prices they charge normally.",2,DK57YibC5ShBmqQl97CKog
M9pT8f2Du2IMqhJ9OFFK-g,5,2015-03-07,3,JhHJ9tZFM1YppN_M2PxxxQ,3,"I came to the WInchester Park and Cultural Center last night to see a performance of Leonard Bernstein's ""Trouble In Tahiti"" opera.  There is plenty of parking in front of the Cultural Center and the walkway goes from two areas of the parking lot to the entrance.

Once inside, the theatre is to the right.  In the hallway before the doors, there's a small art gallery space that has exhibitions.  I was early so I took some time to check it out last night.  A strange display is there now.

The theatre opened and since it was open seating, I could sit either on chairs on the floor arranged in am semi-circle facing the stage or I could sit on one of the theatre style chairs in the rear section.  I opted for the rear section.  It's a proscenium stage that appears to be fairly large.  For last night's show, the small group playing music were in an area in front of the stage.  The bass stuck up high enough sometimes that for a moment or two, one of the characters was blocked by the bass.  I could have moved but it wasn't necessary.

The theatre has a good set of lights for the productions done here and the seating was comfortable.  

I am so glad that the Clark County added performance spaces to many of the parks and recreation areas.  This adds to the places where our talented people can perform be it a play, a musical, or an opera.

I'll be back in May for their last opera of the season.",4,PKEzKWv_FktMm2mGPjwd0Q
hPclwunHi36YV8cPghWJBg,3,2013-10-14,1,3nFoEyvMclO6n5t0ZAAU6g,4,"We stopped here last night in between two places we needed to be.  I knew from reading the reviews on Yelp that it was a small place and it is!  There are 5 tables that hold a total of 14 people.  I guess that's why it's named well and they had a number of take out visits while we were there.

I checked the daily specials board and saw pumpkin curry.  I ordered it with chicken, spice level 7 on a 1 to 10 scale.  My wife got her standard pepper and garlic chicken which does not have a spice level.  We also got an order of vegetarian egg rolls.  

Everything was very good.  The egg rolls were very good and were delivered very hot to our table.  The pumpkin curry was something very different for me and I'd certainly get it again.  I tasted my wife's chicken and it, too, was good and she liked it.  Unlike what she's used to at other Thai restaurants, Thai For To Go deep fries the chicken briefly--no coating--just enough to give a bit of crispness and cooking to the chicken.  

A couple of small things.  Being so small, the tables are small.  We would have been better off sitting at one of the two tables for four people because there almost wasn't enough room for the dishes on the table.  Also, we had our egg rolls for about 2 minutes when she came out with our main dishes.  Perhaps I need to ask people to wait, but I really like some time to enjoy the appetizer before having to start the main course.  Again, due to its size, there's no customer bathroom available without going through the kitchen.  We didn't use the bathroom but we noticed one of the customers going into the kitchen to get there.

It's a good value for the good food.  I hope to get back.  If it were on the west side of town I'd be there more often but it's almost to Boulder Highway.",4,PKEzKWv_FktMm2mGPjwd0Q
UwZUPI7VAQAZZ0Gv0LV8nw,0,2011-09-01,0,RzXenrUyHaxSQZM2REzcXQ,4,"After spending a lovely day looking at musical instruments, or enjoying one of the concerts the MIM has, what better way to finish off your experience than to get lunch at this delectable cafe?  The food here has an emphasis on sustainable and locally produced food.  They have a lot of unique dishes here, and the menu changes daily.  Some examples include ahi tuna and caviar pizza, braised beef with potatoes, and unusual (and tasty) dessert such as chilled rhubarb soup with cake squares.  The portions are very filling, and service is excellent for a cafeteria style establishment.  Some of the dishes can be hit and miss, but I give them points for trying at least.  For instance, the tuna on the pizza I tried was a little overcooked and a little fishy tasting for me, and a chicken sandwich I had was bordering on the dry side.  The beef I have had here though has been very tender and flavorful so far though.  The cafeteria itself is in an open, airy, sunny locale, which provides a good view of the outdoors while you eat your meal.",3,DK57YibC5ShBmqQl97CKog
vMnB2Cz3c1Io1IEyeLLVOA,2,2013-08-14,0,ERY7Svzubcl4bZpVHF7zIg,4,"$6 lunch specials? Crazy! The portions are very generous too, and service was very friendly.

I had the Thai fried rice, which included a hearty amount of chicken, rice, and veggies. It was delicious. It was such a big portion I needed a to-go box.

Drinks are also reasonably priced ($1.75 fountain drinks).

Definitely a good place for lunch if you're in the area.",5,DK57YibC5ShBmqQl97CKog
VEFtI92ux6Q9PwMMrm0T-g,10,2015-06-16,9,tlGabhr6MhHaDcMa66mJzg,3,"A small group of Yelp friends gathered at 346 Patisserie to spend some birthday time with one of our friends.   We got some gelato and then arranged the chairs and tables so we could chat, laugh, and just spend some fun time.

I got two scoops of gelato--pistachio stracciatella and Jame's banana and 5 spice.  Both were very good but the pistachio was my favorite.  The petit chocolate chips in the pistachio were just perfect and not overdone in number.  The 5 spice gave the banana a different twist to the banana flavor.

The shop had a water dispenser at the rear of the store with cold water with lime and some rose petals to add flavor to the water.  It was cool and a nice palate cleanser after the gelato.  

Before heading out, I got a gâteau Basque and two black and white truffle macarons.  The macarons, listed as savory on the card by them, had a flavor that was off putting to me.  The Basque was excellent.  They had three flavors available and I got the fig.  While the Basque I've had before were filled more and had less cake than this one, I really enjoyed the Basque and I could see myself stopping off to get another one.  The problem is they're on the other side of town.  Maybe sometime on the way back from hiking at Lake Mead when it's cooler.",9,PKEzKWv_FktMm2mGPjwd0Q
jzRBdgjaBU3KD8xx_WxFng,19,2016-11-19,12,G6kLKUmdyBuGYP0go7MMqg,5,"""Some people try to get out of jury duty by lying. You don't have to lie. Tell the judge the truth. Tell him you'd make a terrific juror because you can spot guilty people."" --George Carlin.

Grand jury summons?! Different thoughts floated through my head as I opened up the narrow envelope that would hold my future fate on a Friday in November. Grand jury, sounds serious! Some friends told me to just start shouting ""Guilty!"" while pointing at random people in the courthouse. Surely that would help me get dismissed? 

Just kidding of course. It's not really my favorite place to be but hey, it's what I am signed up for by being a U.S. citizen so I don't mind. 

For those driving here the parking garage is on 8th Avenue and Jefferson Street and there are plenty of spots to choose from. There are clearly labeled signs as you exit to wait for the shuttle that will take you to the courthouse. Our shuttle driver was very kind and courteous and was good at explaining the procedure to us, and where to wait to be picked up. The shuttle runs about every 15 minutes and is a large charter bus with comfy seats.

Once you are at the courthouse you go through the metal detector then use one of the kiosks to get your printed juror badge. It helps to know how many years of school you've attended since that is one of the questions you will be asked as my sleep deprived mind tried to figure it out (I've been in school forever it feels like) while other people in line patiently waited for me to finish.

The waiting area is quite spacious, as others note, similar to the set up of an airport waiting area (Minus the screaming kids and rolling suitcases). The main area has a lot of TV screens showing different channels, with a corridor that leads to the vending machines, microwaves, and restrooms. Beyond this corridor is a study area with a cubicle set up. Each cubicle has an outlet for your chargers. 

There are several areas with water coolers available. I had heard that some people received cookies or other pastries with coffee during their summons. I didn't see any in the break room for us. Boo! I want my jury duty cookie! 

Having been called a few other times to be part of a trial jury, the grand jury process was fairly similar. For us, out of the 70+ people there 16 would be on the jury with 10 alternates. The actual courtroom we were in was spacious and it was easy to hear what everyone was saying. 

After my role in the jury selection process was over, getting back to the shuttle stop was easy. It was a short shuttle drive back to the parking garage. 

You don't really have a choice in where your jury summons will be but hey if you gotta serve on a jury, this courthouse is a pretty good one!",19,DK57YibC5ShBmqQl97CKog
W-0kYnhvU1rC1ip4ErgLUQ,0,2012-02-16,0,w1rbGrVu2haEctonkVm11g,3,"** 3.5 stars **

I've been to Big Al's Comedy Club several times.  Like any other comedy club, how good it is depends who's booked for that week.  I've seen as bad as Kato Kaelin and I've seen some good comics.

The venue is odd because it once was a restaurant in the Orleans.  The entrance is almost directy across from the buffet entrance.  There are two rows of plush seats in the front.  These are people who are being comped or have gotten their early to try to get seats close to the front.  On the left side facing the stage, there are some booths that also have some chairs, but the largest section--the middle--is made up of longer tables with seating on both sides and that hold 8 people.

The club is open Wednesday through Sunday and there is one show at 8 PM.  Cost is $19.95 which includes tax and one drink.  

Last night, I saw Kristeen Von Hagen and Danny Villalpando.  Both were funny, but with only two comics other than the MC who only does a brief stint, both featured comics seemed long.

It is an OK venue and depending on the people booked, it's a good club to attend.",3,PKEzKWv_FktMm2mGPjwd0Q
rZUK25ho_Wmgv5tRAs7LMA,2,2010-11-18,2,ozyVKY5OiJGi_nbRnFIPRg,3,"Bonnie Springs restaurant is a good place.  Our hiking group has stopped there twice as we came through the property from our hike.  Today, we had breakfast or lunch depending on who ordered what.  We also had a birthday cake we brought served to one of our hikers as a surprise.  The crew at Bonnie Springs were very helpful in helping us with the surprise.

I had the pulled pork sandwich with fries, and it was very nice.  Two others had the pulled chicken, and they were pleased with that.  Three people got breakfast, 2 omelets and some blueberry pancakes, and they enjoyed their meals.

All in all, it was a good place to stop.  The food took awhile getting ready.  This is my only complaint.  

One funny thing, as you wait, you can watch the ducks and swans swim by in the pond outside the restaurant.  A few times, the swans swam by and with just the neck showing, it looked like something out of jaws.

I recommend this place if you're out in the Red Rock area.  There is no admission fee if you're there simply for lunch or dinner.",3,PKEzKWv_FktMm2mGPjwd0Q
YTqtM2WFhcMZGeAGA08Cfg,8,2015-03-01,6,bgNifYGgRQWfnKRNaXp3QA,3,"I recently found this place on Yelp and decided it was a must try.  Before leaving the house last night, I saw a Yelp friend had just checked in.  When I got there, I joined his wife and him as they finished up and I ordered.

The chips were standard fare but the salsa was very good because it had a good spiciness to it which I like.  

For an appetizer, I ordered three shrimp empanadas and for the main course I got the carnitas platter.  I also got a Diet Coke which was served in the can with a straw.

My error was in ordering the two things at the same time or not specifying that I wanted the empanadas first and then the main.  Instead, both dishes were brought at the same time.  The empanadas were very hot (temperature).  The carnitas were lukewarm at best and the food was plated on a cool dish making the beans, rice, and carnitas all not very hot.  This is so different than most Mexican restaurants where you sometimes can hardly touch the hot plates.

The empanadas were the star of my meal.  They were very tasty with a good amount of shrimp pieces in each one.  The green sauce that accompanies them was excellent.  Another spicy sauce that helped make this dish a winner.  Unfortunately, the carnitas were a fail.  The meat was dry and I need to put some Tapatio on for flavor and for moisture.  The beans and rice were standard.  

I was going back and forth between my appetizer and my main course at the same time and this detracted from the enjoyment of the meal aside from the temperature problems with the carnitas noted above.

The servers were very friendly and helpful.  As other reviewers have noted, this is a small, hole in the wall restaurant that doesn't seat a whole lot of people at one time.  I joined my friends and there was an extra bit of wait for service--my fault because I didn't stop anyone to let them know I wanted to order.  When brought a menu, it had dripped salsa on it in two places.

There was live music last night with two talented guys.  It was however very loud.  We really had to speak loudly to each other to be heard.  

If I come back, it would be for a shrimp cocktail that looked very good (the neighboring table ordered one) and I'd come back for the empanadas.  

Finally, you shouldn't have difficulty finding this restaurant if you go to the Charland Plaza at the corner of Charleston and Maryland Parkway.  Just go in the door under the open sign and you won't enter the beauty shop as I did.

As one group was leaving, another friend on Yelp stopped to introduce himself!  Yelp, you're amazing!",12,PKEzKWv_FktMm2mGPjwd0Q
MQgNF-Ze0TtpPCVd_yY6_A,0,2012-07-13,0,zofvOiCS01UaAlCxQownDA,3,"I do not go to Fresh and Easy very much.  The stores just aren't appealing to me except for a couple of items--generally snacks.  They have peanut butter filled salted pretzel nubs, some good salted kettle chips, and very decent trail mix for hiking.

That's about it for me.  I was going by here yesterday and thought it would be a quick and easy stop and it was.  Since I have no preconceived notion where things should be, I just walk around like a zombie with a purpose to find what I want.

Checkout was quick--I only had two items, and then I went across the street to Albertsons where I did a bit more serious shopping.",1,PKEzKWv_FktMm2mGPjwd0Q
7mGZrCzGGjS95SdRtEaGcQ,7,2015-12-06,3,SLces98gqShC5QjOLqeIgg,4,"Welcome to the Republic. The Republic of rich, luscious ice cream! They have some unique flavors, including some holiday flavors like peppermint, gingerbread, and eggnog. After browsing through the flavor selection, I decided on an ice cream sandwich ($4.50) with the gingerbread ice cream. The cookies included with the sandwich are either chocolate chip or molasses but you can also upgrade to a premium cookie (A chocolate chip oatmeal concoction) for $10. I felt like mixing it up so I had a chocolate chip on one side and a molasses on the other. 

The ice cream itself was great and I loved the bits of gingerbread mixed in with the ice cream. The cookies though tasted too sweet for my tastes so when I bit into the sandwich all I could taste was a generic sweetness rather than the actual ingredients. Also, while the molasses cookie had a nice chewiness that made it easy to eat with the soft ice cream, the chocolate chip was harder.

Service was warm and friendly. If I'm in the area and craving ice cream I'd go here again.",7,DK57YibC5ShBmqQl97CKog
pr5VhK9vBbEIDN2_SIaVVw,15,2016-08-23,8,jluZ6nHur5BXfe58jJAaYg,3,"$5 combination plates. Wow what a deal! I'm not sure if this is truly a foodie's haven but they do give you large portions for a fair price. 

This tiny little hole in the wall offers a small selection of Filipino favorites. Most of the food will be preprepared in trays and you pick out what up want. When we came here there were about 6 items available in the serving trays. Dishes seem to rotate on a daily basis so each time you are here there will be a different menu. When we went we had 4 out of the 6 available: dinuguan, pancit, lumpia, and sinigang. The food looked like it had been sitting in the trays all day so I tried to steer clear of anything that might not keep well over time.

Each plate comes with a mound of rice and the portions were very generous. The lumpia was very crispy but there wasn't much filling in it so all I could taste were the crispy outer layers. The sinigang had a hearty savory/sour taste to it with slow cooked pork and vegetables. It was good for the first few sips but I got a little tired of the taste after a while. The pancit was great. The rice noodles were well cooked and it came with shrimp and vegetables with a slice of hard boiled egg on top. I also enjoyed the dinuguan, an earthy rich pork stew that had a hint of spicy kick to it.

Drinks are by the bottle or can and are in a small fridge off to the side. 

Overall it was a decent experience. I do prefer the ambiance of At My Place Cafe though, which is in the same shopping plaza and also offers Filipino food. I've only tried At My Place Cafe's breakfast though, so TBD which Filipino main dishes in this plaza reign supreme!",19,DK57YibC5ShBmqQl97CKog
